download_count,project,download_percentage
1184405616,boto3,2.2932294876171153
688411984,urllib3,1.3328935965952071
614363827,requests,1.1895225969628467
595958398,botocore,1.1538862643206658
593829462,certifi,1.1497642483942825
576575169,charset-normalizer,1.116356729077365
566065291,idna,1.096007651181015
556941074,setuptools,1.0783414706148657
547471872,aiobotocore,1.0600073349460908
502031237,python-dateutil,0.9720258168661846
480139081,typing-extensions,0.9296385324692539
442593945,packaging,0.8569441684535104
439918600,six,0.8517642031099917
437636350,s3fs,0.84734534277413
421829516,grpcio-status,0.8167403732054372
410528625,s3transfer,0.7948597470690386
346915151,numpy,0.6716922338321166
320120516,pyyaml,0.6198128385794538
307352113,fsspec,0.5950908363584015
286120480,pydantic,0.5539824472996784
284573759,cryptography,0.5509877078637953
283650527,google-api-core,0.5492001590564349
283337840,protobuf,0.5485947388869357
269096543,pip,0.5210209400285611
264885012,pandas,0.5128666329679186
263722388,importlib-metadata,0.5106155767387057
262490368,cffi,0.5082301569507823
255547495,attrs,0.4947874639431694
250698331,pycparser,0.48539858084022797
250279753,rsa,0.48458813600654876
242938847,jinja2,0.47037477710516257
239392147,pytz,0.4635077064717085
234529986,jmespath,0.4540936587602513
232783179,pyasn1,0.4507115156266308
229172643,markupsafe,0.4437208466282298
229031552,aiohttp,0.4434476682193583
221435683,click,0.42874065354502333
220023577,platformdirs,0.4260065537779373
220021121,wheel,0.42600179850529635
202671835,pydantic-core,0.39241035507845023
201782156,zipp,0.39068777111755676
200880352,colorama,0.3889417109022774
198101534,grpcio-tools,0.3835614025921543
196847874,awscli,0.38113408374073304
190560035,googleapis-common-protos,0.36895965834676486
181870496,filelock,0.35213509520774733
181855870,cachetools,0.3521067765523536
173061484,pyasn1-modules,0.3350792101272657
167620108,pluggy,0.32454369448309467
166236316,google-auth,0.32186441588439485
166013513,pyjwt,0.32143302785091427
165478511,virtualenv,0.3203971645066678
162759103,tzdata,0.315131885002571
158499027,wrapt,0.3068835857960178
156087165,h11,0.30221377252956066
155225199,sniffio,0.3005448460893103
154591114,psutil,0.29931713963468665
152759741,anyio,0.2957712610018165
152741832,annotated-types,0.29573658584801876
152593845,pygments,0.29545005550098263
151153691,jsonschema,0.2926616495909673
148030165,pyarrow,0.28661392250172096
146734305,yarl,0.28410489660410687
146560716,pytest,0.2837687960249232
142980562,tomli,0.2768369522274092
141187733,multidict,0.27336570194497634
140150206,rich,0.27135685676689086
138847456,httpx,0.26883449054822783
136928218,grpcio,0.26511848893872914
135690714,httpcore,0.2627224511071725
135457080,iniconfig,0.2622700922438978
132296281,docutils,0.2561501976965296
131915730,requests-oauthlib,0.2554133802051625
130865790,sqlalchemy,0.25338050115114363
129101642,frozenlist,0.24996478261733288
126575813,google-cloud-storage,0.24507430804913527
126184058,tqdm,0.2443157975306226
126152323,tomlkit,0.24425435267017415
124647202,aiosignal,0.24134015856892652
124645247,pyparsing,0.24133637332543584
124298698,beautifulsoup4,0.2406653900280177
122449327,greenlet,0.23708466392080213
120913625,propcache,0.23411125931766777
120731994,requests-toolbelt,0.23375958793124518
118590521,soupsieve,0.22961329804187347
117691600,pillow,0.22787281985062663
116777401,pathspec,0.22610276061076057
116653768,oauthlib,0.22586338413583293
116170622,opensearch-py,0.22492792364910705
114252751,scipy,0.22121456880577292
113687941,more-itertools,0.22012099163136256
113405533,distlib,0.21957419723559962
113336824,exceptiongroup,0.219441163836622
111962061,pyopenssl,0.21677936706067275
110329860,rpds-py,0.2136191224516011
109423154,werkzeug,0.2118635710528991
109216263,python-dotenv,0.2114629916099166
108989340,deprecated,0.21102362649040968
108648449,requests-aws4auth,0.21036359813297634
108609973,jsonschema-specifications,0.21028910144318225
106554330,cloudpickle,0.20630899439207406
106200928,openpyxl,0.2056247424124863
106179003,et-xmlfile,0.20558229153599872
105505234,isodate,0.20427774947897903
105151995,referencing,0.2035938130976977
103568896,lxml,0.20052863909009894
102289461,aiohappyeyeballs,0.19805141504636442
100580497,async-timeout,0.1947425429968451
99872776,trove-classifiers,0.19337226355517292
99569065,proto-plus,0.19278422259057004
99173131,decorator,0.1920176207510612
96726989,typing-inspection,0.18728143503096692
96537918,google-api-python-client,0.18691535842123455
96447272,snowflake-connector-python,0.1867398509115382
95585890,mypy-extensions,0.18507205520387024
94791843,azure-identity,0.18353463257571387
94641289,tenacity,0.18324313203939868
94521459,markdown-it-py,0.18301111887955804
94100352,coverage,0.1821957774316651
93747003,grpcio-health-checking,0.18151162806993157
91999668,google-cloud-core,0.17812846263014065
91285376,poetry-core,0.17674546051073076
90416959,msgpack,0.17506404373505413
89979068,mdurl,0.17421620534253326
89822247,websocket-client,0.17391257072900268
89268274,events,0.17283997600150205
88583067,flask,0.17151328784982947
87355917,pyzmq,0.169137297287379
87233053,azure-core,0.16889940973943057
86505888,pynacl,0.16749148309856002
85977863,msal,0.1664691285235383
85475132,gitpython,0.16549574783539805
85205580,sortedcontainers,0.16497384504593496
84535252,aliyun-python-sdk-core,0.16367596540469606
83722134,shellingham,0.1621016177746927
83646708,opentelemetry-api,0.16195557901483174
82647784,langsmith,0.16002147642215334
82123359,asn1crypto,0.1590060921164751
81353079,psycopg2-binary,0.157514686819287
80374857,dill,0.15562066714770534
80276604,regex,0.15543043107164908
79142019,opentelemetry-sdk,0.1532336635596922
78715973,google-resumable-media,0.1524087592894972
78262713,scikit-learn,0.15153116365543756
76273076,itsdangerous,0.14767885649274165
75968230,smmap,0.1470886179571097
75721943,opentelemetry-semantic-conventions,0.14661176053327868
75695325,wcwidth,0.14656022313622755
75582842,starlette,0.14634243513440534
75273504,gitdb,0.14574349925158145
74185674,fastapi,0.14363725811272274
73941481,google-crc32c,0.14316445506222647
73085300,keyring,0.1415067294575739
72924563,pexpect,0.1411955127399464
72912448,ptyprocess,0.1411720558474197
72864887,networkx,0.14107996890846303
71700374,bcrypt,0.1388252552240309
70772134,chardet,0.1370280099975394
70128538,tabulate,0.13578188847854752
69041506,blinker,0.13367719241605994
69027756,matplotlib,0.1336505698595398
68862461,threadpoolctl,0.1333305280064491
68600722,jaraco-classes,0.1328237526376472
68257484,huggingface-hub,0.13215918005183913
67895939,dnspython,0.13145916171023367
67547948,rapidfuzz,0.1307853864327063
67506177,yandexcloud,0.130704510010277
67096159,jeepney,0.12991063892814783
67080906,fastjsonschema,0.1298811062841768
66850458,py4j,0.12943491610927102
66487688,importlib-resources,0.12873252593990286
66184900,pyproject-hooks,0.12814627207491222
65697012,build,0.12720163019451225
65619335,types-requests,0.1270512330801257
65522197,secretstorage,0.12686315585137994
65428499,sphinx,0.1266817391022291
65320500,paramiko,0.12647263295811137
63635961,google-cloud-bigquery,0.12321105224990148
63591353,joblib,0.12312468286799233
63393266,prompt-toolkit,0.12274114960592647
63287369,uvicorn,0.12253611332463094
63063657,sqlparse,0.12210296529814116
62827531,backoff,0.12164578145953205
61511481,fonttools,0.11909766396801678
61143762,alembic,0.1183856916144873
60764143,ruamel-yaml,0.11765067864840581
60528308,kiwisolver,0.11719405823990195
59650608,httplib2,0.11549466785024885
58897587,typedload,0.11403667918600488
58838342,xmltodict,0.1139219698506568
58778381,google-auth-oauthlib,0.11380587420618377
58242027,langchain,0.11276739313856159
57756313,ipython,0.11182696052637066
57714381,rich-toolkit,0.11174577237800683
57520476,asgiref,0.11137033624549494
57245281,defusedxml,0.11083750755883598
57180150,pkginfo,0.11071140183311137
57001290,azure-storage-blob,0.11036509561789733
56512607,msal-extensions,0.10941891446968402
56305446,cycler,0.10901781225650078
55435369,marshmallow,0.10733318141218247
54505251,pytest-cov,0.10553230002851681
54403119,redis,0.10533455348724295
53912916,docker,0.10438542933641796
53831373,grpc-google-iam-v1,0.10422754692723091
53553344,uritemplate,0.10368923108964989
53494849,google-auth-httplib2,0.10357597389374837
53105593,awswrangler,0.10282230190387164
52522236,distro,0.101692814289041
52229228,openai,0.10112549632243344
51768865,babel,0.10023414795972195
51758033,jaraco-functools,0.10021317519374187
51698649,gunicorn,0.10009819672854971
51466944,opentelemetry-proto,0.09964957276793153
51215334,tzlocal,0.09916240902640185
51143917,black,0.09902413243592918
50833788,nest-asyncio,0.09842366503003569
50787279,poetry-plugin-export,0.09833361495867601
50675100,transformers,0.09811641555737614
50568255,cachecontrol,0.09790954377182016
50412421,traitlets,0.09760782017380126
50348440,termcolor,0.09748394106189469
50245894,isort,0.09728539293964636
50111145,zstandard,0.09702449382193487
49717362,jaraco-context,0.09626205671835876
49652153,contourpy,0.0961357999701317
49500398,jedi,0.09584197407451611
49229053,toml,0.09531659970368277
48576423,installer,0.09405298668101068
48413396,opentelemetry-exporter-otlp-proto-common,0.09373733609760636
48373980,parso,0.09366101939303924
48282691,websockets,0.0934842669157907
48224156,typer,0.09337093227245204
47600230,opentelemetry-exporter-otlp-proto-http,0.09216289553067844
47587715,pycodestyle,0.09213866416378029
47219296,cython,0.09142533648010066
47100999,types-python-dateutil,0.09119629149328878
46680141,jsonpointer,0.0903814321556921
46661487,pymysql,0.09034531454337742
46584344,poetry,0.0901959513522768
46564532,ruamel-yaml-clib,0.09015759163665665
46429564,setuptools-scm,0.08989626849422679
46393232,gym-notices,0.08982592298706388
46334174,matplotlib-inline,0.0897115757184845
46310011,markdown,0.0896647916578884
46297644,tornado,0.08964084684650771
45756895,opentelemetry-exporter-otlp-proto-grpc,0.08859385624172872
45561701,hatchling,0.08821592436555468
45365799,dulwich,0.08783662166974311
45328111,snowflake-sqlalchemy,0.08776365069446085
45234724,pendulum,0.08758283609913382
45176631,crashtest,0.08747035724997566
45120044,sentry-sdk,0.08736079429682618
44975129,kubernetes,0.08708021191296315
44540497,prometheus-client,0.08623868355038403
44015489,weaviate-client,0.0852221704483093
44005418,py,0.085202671119821
43892407,mako,0.08498386081182842
43663999,asttokens,0.08454162045621728
43655239,mccabe,0.08452465946748156
43558358,executing,0.0843370798385195
43138150,cleo,0.0835234790217765
43121619,langchain-core,0.08349147193218853
43089110,webencodings,0.0834285284638312
42806968,orjson,0.08288224909352529
42607608,tokenizers,0.08249625106677214
42520615,mypy,0.08232781644427345
42468824,typing-inspect,0.0822275394388382
42161534,sympy,0.08163256886479639
41872864,multiprocess,0.08107365007274768
41423129,ply,0.08020287949408682
41369838,ruff,0.08009969820975846
41216531,stack-data,0.07980286735358147
41092646,pure-eval,0.07956300295979979
41081038,thriftpy2,0.07954052771353902
40806983,smart-open,0.0790099062788388
40323048,torch,0.07807291814141512
39265785,python-json-logger,0.07602586039784011
38947639,snowflake-snowpark-python,0.07540987058935592
38631092,uv,0.07479697674217178
38535344,argcomplete,0.07461159081186701
